datetime,area
2009-04-29,12551.8
2009-04-30,12582.2
2009-05-01,12616.4
2009-05-02,12657.25
2009-05-03,12692.4
2009-05-04,12721.85
2009-05-05,12752.9
2009-05-06,12788.55
2009-05-07,12838.0
2009-05-08,12902.4
2009-05-09,12972.55
2009-05-10,13039.25
2009-05-11,13110.55
2009-05-12,13184.15
2009-05-13,13258.9
2009-05-14,13337.1
2009-05-15,13414.15
2009-05-16,13486.6
2009-05-17,13555.6
2009-05-18,13625.75
2009-05-19,13701.65
2009-05-20,13770.65
2009-05-21,13829.3
2009-05-22,13890.25
2009-05-23,13958.1
2009-05-24,14037.45
2009-05-25,14115.65
2009-05-26,14167.4
2009-05-27,14195.0
2009-05-28,14196.15
2009-05-29,14178.9
2009-05-30,14155.9
2009-05-31,14134.05
2009-06-01,14096.1
2009-06-02,14045.5
2009-06-03,13993.75
2009-06-04,13939.7
2009-06-05,13884.5
2009-06-06,13827.0
2009-06-07,13767.2
2009-06-08,13714.3
2009-06-09,13682.1
2009-06-10,13672.9
2009-06-11,13672.9
2009-06-12,13677.5
2009-06-13,13686.7
2009-06-14,13693.6
2009-06-15,13698.2
2009-06-16,13703.95
2009-06-17,13707.4
2009-06-18,13707.4
2009-06-19,13707.4
2009-06-20,13715.45
2009-06-21,13725.8
2009-06-22,13731.55
2009-06-23,13735.0
2009-06-24,13739.6
2009-06-25,13747.65
2009-06-26,13775.25
2009-06-27,13805.15
2009-06-28,13822.4
2009-06-29,13832.75
2009-06-30,13840.8
2009-07-01,13841.95
2009-07-02,13843.1
2009-07-03,13844.25
2009-07-04,13844.25
2009-07-05,13844.25
2009-07-06,13841.95
2009-07-07,13836.2
2009-07-08,13824.7
2009-07-09,13809.75
2009-07-10,13793.65
2009-07-11,13779.85
2009-07-12,13763.75
2009-07-13,13747.65
2009-07-14,13726.95
2009-07-15,13703.95
2009-07-16,13682.1
2009-07-17,13656.8
2009-07-18,13631.5
2009-07-19,13603.9
2009-07-20,13578.6
2009-07-21,13555.6
2009-07-22,13534.9
2009-07-23,13513.05
2009-07-24,13488.9
2009-07-25,13465.9
2009-07-26,13446.35
2009-07-27,13427.95
2009-07-28,13408.4
2009-07-29,13386.55
2009-07-30,13369.3
2009-07-31,13355.5
2009-08-01,13340.55
2009-08-02,13325.6
2009-08-03,13308.35
2009-08-04,13289.95
2009-08-05,13268.1
2009-08-06,13248.55
2009-08-07,13224.4
2009-08-08,13199.1
2009-08-09,13174.95
2009-08-10,13149.65
2009-08-11,13122.05
2009-08-12,13095.6
2009-08-13,13068.0
2009-08-14,13049.6
2009-08-15,13034.65
2009-08-16,13009.35
2009-08-17,12984.05
2009-08-18,12957.6
2009-08-19,12932.3
